pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad,radius_frac_error
Kepler-172 d,Kepler-172,2014,Transit,14.627119,2.25,0.4,-0.4,5526.0,1.085,0.17777777777777778
Kepler-705 b,Kepler-705,2016,Transit,56.0560538,2.11,0.1,-0.08,3722.0,0.51,0.047393364928909956
TOI-238 c,TOI-238,2024,Radial Velocity,8.465651,2.18,0.18,-0.18,5059.0,0.733,0.08256880733944953
K2-365 b,K2-365,2022,Transit,23.448172,2.906,0.195,-0.176,5561.0,1.051,0.06710254645560908
K2-376 b,K2-376,2022,Transit,5.776475,1.736,0.125,-0.119,5937.0,1.149,0.07200460829493088
Kepler-728 b,Kepler-728,2016,Transit,5.743477265,3.34,0.45,-0.26,5660.0,0.93,0.1347305389221557
Kepler-563 b,Kepler-563,2016,Transit,22.18432708,3.09,0.17,-0.2,5066.0,0.77,0.06472491909385114
Kepler-221 d,Kepler-221,2014,Transit,10.04156,2.73,0.25,-0.25,5243.0,0.821,0.09157509157509157
Kepler-595 b,Kepler-595,2016,Transit,25.3029092,3.708,0.01,-0.01,5138.5,0.821,0.0026968716289104636
Kepler-296 f,Kepler-296,2014,Transit,63.33627,1.8,0.31,-0.3,3740.0,0.48,0.17222222222222222
