wavelength_A,flux,error
6039.319536458003,4.077947615005462e-12,4.916772572443511e-15
6044.19638082724,4.070941066885991e-12,4.675140330613224e-15
6049.073267444451,4.057646579846974e-12,4.679112491619373e-15
6053.950196196903,4.0499912451474884e-12,4.9653016310905514e-15
6058.827166971857,4.0119088606793696e-12,4.8685429399433246e-15
6063.704179656563,4.0183455521369815e-12,4.920804872788915e-15
6068.581234138262,4.006840866044303e-12,4.674195041844088e-15
6073.458330304182,3.992085308157645e-12,4.499063356702736e-15
6078.335468041544,3.965796441240954e-12,4.803342155311951e-15
6083.21264723756,3.958273379206512e-12,4.574710175156123e-15
6088.08986777943,3.9450495821491405e-12,4.385230598921231e-15
6092.967129554347,3.941145153285586e-12,4.745798125007283e-15
6107.599161149145,3.905869117720728e-12,4.385050604419939e-15
6117.354052975657,3.877534578144992e-12,4.405610635148643e-15
6122.2315597793395,3.874002681147903e-12,4.660769993146581e-15
6131.98669460318,3.8472931437882885e-12,4.671021209390726e-15
6141.741990296381,3.844165437361102e-12,4.364817951925349e-15
6146.619698186728,3.840901988821921e-12,4.402881918509063e-15
6151.497445955681,3.802947973891024e-12,4.358497392072938e-15
6161.253060677669,3.78058868932829e-12,4.5509424306561675e-15
6166.130927404815,3.764838267528159e-12,4.264066770981239e-15
6171.008833558788,3.764556808644182e-12,4.3796888858638194e-15
6180.764763695332,3.737093533934255e-12,4.263720334505812e-15
6195.398951776851,3.712405816785891e-12,4.2753174861031445e-15
6200.277092119139,3.71862393308553e-12,4.257998203430636e-15
6210.033488598263,3.685158948829592e-12,4.1879346026490755e-15
6214.911744509029,3.675229391653101e-12,4.437769935057047e-15
6219.790038716537,3.6476650693006984e-12,4.208907138423092e-15
6239.303596252669,3.614112915190093e-12,4.1439007478531135e-15
6244.182080247829,3.6176168397711317e-12,4.150361068141822e-15
6249.060601861246,3.6009272820491933e-12,4.136324885172871e-15
6253.939160979812,3.5785209431121734e-12,4.232357245567827e-15
6258.817757490407,3.584508124349073e-12,4.207660305924734e-15
6390.5535838889955,3.3045762307115645e-12,4.0792708634281895e-15
6395.433181415164,3.309585895269751e-12,3.811583041107413e-15
6405.192478677761,3.272328371814459e-12,4.019762563718839e-15
6414.951911464867,3.245621002859189e-12,3.859369675376185e-15
6419.831678396645,3.2494690532097747e-12,3.7407643104533754e-15
6439.3510803991285,3.224080074096247e-12,3.735234879373699e-15
6444.231013901491,3.2210443080132878e-12,4.007987535202583e-15
6458.871011797748,3.189352861671102e-12,3.931210351281085e-15
6463.751076514707,3.186706757848934e-12,3.980176055412435e-15
6468.631173751659,3.1788753487166366e-12,3.7811394064336725e-15
6473.511303395124,3.170513331041125e-12,3.7135017080130485e-15
6483.271659447648,3.1518498748439594e-12,4.1095184099746405e-15
6488.1518856297125,3.1493191301329437e-12,3.7096964124975085e-15
6493.032143764304,3.127901366736796e-12,3.883161136798664e-15
6517.433909751857,3.077146610436232e-12,3.909253986738833e-15
6522.314357217522,3.0620590698443584e-12,3.9353955410734685e-15
6532.075345508575,3.0373514033760207e-12,3.881678405624495e-15
6541.836457522105,3.0522448717790196e-12,3.895362646403862e-15
6546.717059640842,3.0395941839900242e-12,3.598990053324319e-15
6551.5976923494345,2.999637213965678e-12,3.573345707329721e-15
6561.359049081768,2.769901495669469e-12,3.410344381025998e-15
6566.239772878281,2.660662272099823e-12,3.3861154270862625e-15
6571.120526810195,2.801937718302505e-12,3.429832915076425e-15
6576.00131076388,2.9127217131275085e-12,3.566074352994017e-15
6580.882124625695,2.9410907303323297e-12,3.801615157384124e-15
6595.524744523445,2.9518562073838073e-12,3.826465409990671e-15
6600.405676881267,2.9703826204263706e-12,3.844888800109926e-15
6605.286638578925,2.941527013286538e-12,3.79211483584772e-15
6624.81077649422,2.894282036258744e-12,3.722642887579817e-15
6629.6918831857265,2.906218885337375e-12,3.502810732713014e-15
6639.454182427986,2.8906729440669743e-12,3.557128838038064e-15
